question,label
일정 정해 독서 하다,O S-Action S-Subject S-Subject
30일 뒤 잡다 목공,S-Date S-Date S-Action S-Subject
팔일 후 일정 말해주다,S-Date S-Date O S-Action
여행 가기 때리다 이천이십삼년 7월 16일,S-Subject S-Subject S-Action S-Date S-Date S-Date
때리다,S-Action
울리다,S-Action
셋째 주 일정 방어 먹기 올리다,S-Date S-Date O S-Subject S-Subject S-Action
간식 주기 말해주다 첫째 주,S-Subject S-Subject S-Action S-Date S-Date
십팔일 부터 2일 까지 열여덟시 여행 가기 일정 응답하다,S-Date S-Date S-Date S-Date S-Time S-Subject S-Subject O S-Action
다다음 주 알다,S-Date S-Date S-Action
일정 추가하다 맥주 먹기 오개월 후,O S-Action S-Subject S-Subject S-Date S-Date
일정 말해주다 이십육일 뒤 열세시,O S-Action S-Date S-Date S-Time
등록하다 여행가기 월요일,S-Action S-Subject S-Date
연어 먹기 일정 짜다,S-Subject S-Subject O S-Action
때리다 줄넘기 하기 셋째 주,S-Action S-Subject S-Subject S-Date S-Date
일정 요리 하기 설정하다,O S-Subject S-Subject S-Action
울리다 사진 찍다 가기,S-Action S-Subject S-Subject S-Subject
월차 설정하다,S-Subject S-Action
오월 이십팔일 문예창작 수업 맞추다,S-Date S-Date S-Subject S-Subject S-Action
화요일 17시 일정 정해 노래,S-Date S-Time O S-Action S-Subject
1일 후 정오 54분 전 울리다 요리 하다,S-Date S-Date S-Time S-Time S-Time S-Action S-Subject S-Subject
운동하러 가기 등록하다 28일 아침 5시 이십사분쯤,S-Subject S-Subject S-Action S-Date S-Time S-Time S-Time
스키 타기 짜다 십이월 일일,S-Subject S-Subject S-Action S-Date S-Date
넣다 경마 구월 마지막 주,S-Action S-Subject S-Date S-Date S-Date
주유 하기 넣다,S-Subject S-Subject S-Action
추가하다 노래 부르러 가기,S-Action S-Subject S-Subject S-Subject
까지 다음 주 일정 말해주다,S-Date S-Date S-Date O S-Action
정리하기 올리다 삼월 둘째 주,S-Subject S-Action S-Date S-Date S-Date
일정 넣다,O S-Action
일정 마라톤 참가하기 올리다,O S-Subject S-Subject S-Action
올리다 낚시 하기 삼주일 후,S-Action S-Subject S-Subject S-Date S-Date
6월 첫째 주 일정 지정해주다 전구 교체하기,S-Date S-Date S-Date O S-Action S-Subject S-Subject
치과 가기 일정 정해 목요일 토요일 일요일,S-Subject S-Subject O S-Action S-Date S-Date S-Date
먹이 주기 울리다,S-Subject S-Subject S-Action
목공 알다,S-Subject S-Action
다음 주 화요일 정해 사진찍으러 가기,S-Date S-Date S-Date S-Action S-Subject S-Subject
과일 사 오기 넣다 금요일 일요일 저녁 한시 삼십분에,S-Subject S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time S-Time
맥주 먹기 일정 울리다 월요일,S-Subject S-Subject O S-Action S-Date
일정 말해주다 명상 하다,O S-Action S-Subject S-Subject
마지막 주 까지 잡다 경마,S-Date S-Date S-Date S-Action S-Subject
7일 후 과일 사 오기 일정 정해,S-Date S-Date S-Subject S-Subject S-Subject O S-Action
일정 여행 가기 맞추다,O S-Subject S-Subject S-Action
출근 하다 일정 짜다 마지막 주,S-Subject S-Subject O S-Action S-Date S-Date
다음 달 일정 알다,S-Date S-Date O S-Action
십일 뒤 열시 알다,S-Date S-Date S-Time S-Action
7월 14일 지정해주다 먹이 주기,S-Date S-Date S-Action S-Subject S-Subject
22일 후 아홉시 십칠분 파티하기 응답하다,S-Date S-Date S-Time S-Time S-Subject S-Action
일정 짜다 운동 하다 가기,O S-Action S-Subject S-Subject S-Subject
넷째 주 명상 하다 올리다,S-Date S-Date S-Subject S-Subject S-Action
일정 등록하다 맥주 먹기,O S-Action S-Subject S-Subject
짜다,S-Action
사진찍으러 가기 일정 알다,S-Subject S-Subject O S-Action
일정 알다 카약 월요일 수요일 금요일 토요일 3시,O S-Action S-Subject S-Date S-Date S-Date S-Date S-Time
채소 물 주기 실행하다 삼주일 후 3시 팔분에,S-Subject S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time
공부하기 일정 설정하다,S-Subject O S-Action
정리하기 일정 알다,S-Subject O S-Action
일정 실행하다 월요일 화요일 금요일 토요일,O S-Action S-Date S-Date S-Date S-Date
까지 다다음 주 일정 울리다 카드 놀이,S-Date S-Date S-Date O S-Action S-Subject S-Subject
추가하다 간식 주기,S-Action S-Subject S-Subject
첫째 주 부터 셋째 까지 과일 사 오기 일정 응답하다,S-Date S-Date S-Date S-Date S-Date S-Subject S-Subject S-Subject O S-Action
게임 하다 잡다 월요일 일요일 아침 여덟시,S-Subject S-Subject S-Action S-Date S-Date S-Time S-Time
노래 부르다 가기 울리다 일요일 24시,S-Subject S-Subject S-Subject S-Action S-Date S-Time
3일 뒤 일정 설정하다,S-Date S-Date O S-Action
독서하기 정해 십삼일,S-Subject S-Action S-Date
일정 술 마시기 말해주다,O S-Subject S-Subject S-Action
금요일 토요일 일요일 24시 삼십육분 휴가 실행하다,S-Date S-Date S-Date S-Time S-Time S-Subject S-Action
